"Timestamp","Event","Content","Touchpoint","Location","PunctuationInSentece","NumberOfWords","NumberOfCharacters","SelectedButtonIndex","FullSentece","TimeSpan","IdentificationTags","LocationTags"
"2020/01/02 13:23:02.887","output-updated","or exactly ","","","","0","0","0","","","",""
"2020/01/02 13:23:02.986","tags-Updated","Current Location and Identification Tags Updated","","","","0","0","0","","","","lcoation1, location5, location3, location2, location4, location6, lovation7, location8"
"2020/01/02 13:23:03.024","sentence-prediction[1]-updated","but her users were not necessarily literate","","470,623","N","7","0","0","exactly but her users were not necessarily literate","","person4, person1, person6, person2, person5, Unknown, person3, person7, person8","location2, location5, location6, location4, lcoation1, location8, lovation7, location3"
"2020/01/02 13:23:03.024","word-prediction[1]-updated","what","","110,195","","0","0","0","","","",""
"2020/01/02 13:23:03.050","word-prediction[2]-updated","the","","380,195","","0","0","0","","","",""
"2020/01/02 13:23:03.062","word-prediction[3]-updated","how","","520,410","","0","0","0","","","",""
"2020/01/02 13:23:03.073","word-prediction[4]-updated","like","","790,410","","0","0","0","","","",""
"2020/01/02 13:23:04.673","word-prediction[1]-selected","what","139,220","110,195","","0","0","0","","","",""
"2020/01/02 13:23:04.688","output-updated","or exactly what ","","","","0","0","0","","","",""
"2020/01/02 13:23:04.837","tags-Updated","Current Location and Identification Tags Updated","","","","0","0","0","","","","lcoation1, location5, location3, location2, location4, location6, lovation7, location8"
"2020/01/02 13:23:04.862","sentence-prediction[1]-updated","is stored or where it is stored","","650,195","N","7","0","0","and it is like magic because i don't have to remember what is stored or where it is stored","","","location3, location5, lovation7, location6, location4, location2, location8, lcoation1"
"2020/01/02 13:23:04.876","sentence-prediction[2]-updated","do you think of that?","","250,410","Y","5","0","0","what do you think of that?","","person2, person4, person1, person3, person5, person7, Unknown, person6, person8","lovation7, location2, location8, location5, lcoation1, location6, location4, location3"
"2020/01/02 13:23:04.888","sentence-prediction[3]-updated","we want to do next.","","110,195","Y","5","0","0","so do we know what we want to do next.","","person1, person7, person3, person2, person4, person5, Unknown, person6, person8","location2, lovation7, lcoation1, location6, location8, location5, location3, location4"
"2020/01/02 13:23:04.900","sentence-prediction[4]-updated","can i do for you?","","290,623","Y","5","0","0","what can i do for you?","","person4, person1, person6, person2, person5, Unknown, person3, person7, person8","location2, location5, location6, location4, lcoation1, location8, lovation7, location3"
"2020/01/02 13:23:04.913","sentence-prediction[5]-updated","comes up","","290,558","N","2","0","0","i am always surprised to see what comes up","","person1, person3, person2, person7, person8, Unknown, person4, person5, person6","lcoation1, location8, lovation7, location3, location6, location4, location2, location5"
"2020/01/02 13:23:04.913","word-prediction[1]-updated","you","","470,130","","0","0","0","","","",""
"2020/01/02 13:23:04.938","word-prediction[2]-updated","the","","380,130","","0","0","0","","","",""
