Timestamp,Event,Content,Touchpoint,Location,PunctuationInSentece,NumberOfWords,NumberOfCharacters,SelectedButtonIndex,FullSentece,TimeSpan,IdentificationTags,LocationTags
35:20.9,sentence-prediction[1]-updated,i still hate it when rolf reads over my shoulder.,,"650,195",Y,10,0,0,but i still hate it when rolf reads over my shoulder.,,"person1, person7, person3, person2, person4, person5, Unknown, person6, person8","location2, lovation7, lcoation1, location6, location8, location5, location3, location4"
35:20.9,sentence-prediction[2]-updated,is the user interface lead on the project,,"160,410",N,8,0,0,rolf is the user interface lead on the project,,"person2, person4, Unknown, person1, person6, person3, person7, person5, person8","lcoation1, location5, location6, location3, location8, lovation7, location2, location4"
35:20.9,sentence-prediction[3]-updated,is rolf,,"160,345",N,2,0,0,much of the design is rolf,,"person4, person6, person1, person7, person5, person2, Unknown, person3","location4, lovation7, location6, lcoation1, location3, location8, location5, location2"
35:20.9,word-prediction[1]-updated,i'm,,"650,623",,0,0,0,,,,
35:21.0,word-prediction[2]-updated,it's,,"380,195",,0,0,0,,,,
35:21.0,word-prediction[3]-updated,in,,"560,623",,0,0,0,,,,
35:21.0,word-prediction[4]-updated,its,,"380,130",,0,0,0,,,,
35:22.2,Sentence-prediction[1]-selected,i,"676.5,228.5",,N,10,0,1,i still hate it when rolf reads over my shoulder.,,,
35:22.3,output-updated,rolf keeps on speaking when i ,,,,0,0,0,,,,
35:22.4,tags-Updated,Current Location and Identification Tags Updated,,,,0,0,0,,,,"location3, location5, location8, lcoation1, location2, location4, location6, lovation7"
35:22.4,sentence-prediction[1]-updated,still hate it when rolf reads over my shoulder.,,"160,410",Y,9,0,0,but i still hate it when rolf reads over my shoulder.,,"person1, person7, person3, person2, person4, person5, Unknown, person6, person8","location2, lovation7, lcoation1, location6, location8, location5, location3, location4"
