File Count,File Name,Timestamp,Event,Utterance,selected,missed,selected / missed,WP or SP?,Word Count,Character Count,Total Character Count,Time (mins),Time (secs),Words per minute,Characters per Second,Derived Time (sec),Derived Time (mins),Predicted Words Used,No. of Predicted Words Used,Predicted Sentences Used,No. of Words Used in Predicted Sentences,No. of Predicted Sentences Used,Actual Keys pressed,Actual Keystrokes,Actual Keystroke Savings,Keys pressed if user used predictions the first time they appeared,Min. keys user has to press if system could predict all current words and next words/phrases in the lexicon (at each moment) ASAP and user uses all those predictions the first time they appear,Keystrokes,Keystrokes Saved,Words in the lexicon (WP),Theoretical min character (WP),Words in the lexicon (SP),Theoretical min character (Word SP),Phrases in the lexicon (SP),Theoretical min character (Phrase SP),Keystrokes involved in selecting predictions,Total min. char (including TTS button),Keystrokes saved (lexicon)
1,02012020-132021.csv,13:21:13.409000,output-updated,hello ,0,0,-,-,1,6,6,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,5
1,02012020-132021.csv,13:21:13.495000,tags-Updated,Current Location and Identification Tags Updated,0,0,-,-,6,48,48,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,47
1,02012020-132021.csv,13:21:13.532000,sentence-prediction[1]-updated,alex,0,0,-,-,1,4,4,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,3
1,02012020-132021.csv,13:21:13.542000,sentence-prediction[2]-updated,everyone,0,0,-,-,1,8,8,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,7
1,02012020-132021.csv,13:21:13.554000,sentence-prediction[3]-updated,barney and brian,0,0,-,-,3,16,16,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,15
1,02012020-132021.csv,13:21:13.554000,sentence-prediction[4]-updated,this is our new prediction system,0,0,-,-,6,33,33,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,32
1,02012020-132021.csv,13:21:13.577000,word-prediction[1]-updated,to,0,0,-,-,1,2,2,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,1
1,02012020-132021.csv,13:21:13.589000,word-prediction[2]-updated,and,0,0,-,-,1,3,3,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,2
1,02012020-132021.csv,13:21:13.589000,word-prediction[3]-updated,my,0,0,-,-,1,2,2,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,1
1,02012020-132021.csv,13:21:13.611000,word-prediction[4]-updated,kitty,0,0,-,-,1,5,5,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,4
1,02012020-132021.csv,13:21:15.562000,Letter-button-selected,h,0,0,-,-,1,1,1,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,0
1,02012020-132021.csv,13:21:15.578000,output-updated,hello h,0,0,-,-,2,7,7,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,6
1,02012020-132021.csv,13:21:15.661000,tags-Updated,Current Location and Identification Tags Updated,0,0,-,-,6,48,48,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,47
1,02012020-132021.csv,13:21:15.693000,sentence-prediction[1]-updated,have used before,0,0,-,-,3,16,16,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,15
1,02012020-132021.csv,13:21:15.707000,sentence-prediction[2]-updated,how my abductors were stretched,0,0,-,-,5,31,31,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,30
1,02012020-132021.csv,13:21:15.722000,sentence-prediction[3]-updated,how i speak,0,0,-,-,3,11,11,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,10
1,02012020-132021.csv,13:21:15.735000,sentence-prediction[4]-updated,her family,0,0,-,-,2,10,10,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,9
1,02012020-132021.csv,13:21:15.749000,word-prediction[1]-updated,hello,0,0,-,-,1,5,5,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,4
1,02012020-132021.csv,13:21:15.764000,word-prediction[2]-updated,his,0,0,-,-,1,3,3,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,2
1,02012020-132021.csv,13:21:15.778000,word-prediction[3]-updated,has,0,0,-,-,1,3,3,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,2
1,02012020-132021.csv,13:21:15.792000,word-prediction[4]-updated,him,0,0,-,-,1,3,3,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,2
1,02012020-132021.csv,13:21:17.672000,Sentence-prediction[2]-selected,how,0,0,-,-,1,3,3,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,2
1,02012020-132021.csv,13:21:17.679000,output-updated,hello how ,0,0,-,-,2,10,10,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,9
1,02012020-132021.csv,13:21:17.797000,tags-Updated,Current Location and Identification Tags Updated,0,0,-,-,6,48,48,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,47
1,02012020-132021.csv,13:21:17.808000,sentence-prediction[1]-updated,my abductors were stretched,0,0,-,-,4,27,27,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,26
1,02012020-132021.csv,13:21:17.825000,sentence-prediction[2]-updated,i speak,0,0,-,-,2,7,7,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,6
1,02012020-132021.csv,13:21:17.825000,sentence-prediction[3]-updated,pleased you would be,0,0,-,-,4,20,20,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,19
