File Count,File Name,Timestamp,Event,Utterance,selected,missed,selected / missed,WP or SP?,Word Count,Character Count,Total Character Count,Time (mins),Time (secs),Words per minute,Characters per Second,Derived Time (sec),Derived Time (mins),Predicted Words Used,No. of Predicted Words Used,Predicted Sentences Used,No. of Words Used in Predicted Sentences,No. of Predicted Sentences Used,Actual Keys pressed,Actual Keystrokes,Actual Keystroke Savings,Keys pressed if user used predictions the first time they appeared,Min. keys user has to press if system could predict all current words and next words/phrases in the lexicon (at each moment) ASAP and user uses all those predictions the first time they appear,Keystrokes,Keystrokes Saved,Words in the lexicon (WP),Theoretical min character (WP),Words in the lexicon (SP),Theoretical min character (Word SP),Phrases in the lexicon (SP),Theoretical min character (Phrase SP),Keystrokes involved in selecting predictions,Total min. char (including TTS button),Keystrokes saved (lexicon)
2,27112019-101440_-_1.1.csv,00:27:00.900000,word-prediction[2]-updated,week,0,0,-,-,1,4,4,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,3
2,27112019-101440_-_1.1.csv,00:27:00.900000,word-prediction[3]-updated,morning,0,0,-,-,1,7,7,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,6
2,27112019-101440_-_1.1.csv,00:27:00.900000,word-prediction[4]-updated,was,0,0,-,-,1,3,3,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,2
2,27112019-101440_-_1.1.csv,00:27:02.400000,Letter-button-selected,m,0,0,-,-,1,1,1,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,0
2,27112019-101440_-_1.1.csv,00:27:02.400000,output-updated,this m,0,0,-,-,2,6,6,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,5
2,27112019-101440_-_1.1.csv,00:27:02.500000,tags-Updated,Current Location and Identification Tags Updated,0,0,-,-,6,48,48,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,47
2,27112019-101440_-_1.1.csv,00:27:02.500000,sentence-prediction[1]-updated,morning at six,0,0,-,-,3,14,14,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,13
2,27112019-101440_-_1.1.csv,00:27:02.500000,sentence-prediction[2]-updated,my typing,0,0,-,-,2,9,9,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,8
2,27112019-101440_-_1.1.csv,00:27:02.500000,sentence-prediction[3]-updated,mechanic,0,0,-,-,1,8,8,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,7
2,27112019-101440_-_1.1.csv,00:27:02.600000,sentence-prediction[4]-updated,manuel,0,0,-,-,1,6,6,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,5
2,27112019-101440_-_1.1.csv,00:27:02.600000,word-prediction[1]-updated,month,0,0,-,-,1,5,5,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,4
2,27112019-101440_-_1.1.csv,00:27:02.600000,word-prediction[2]-updated,means,0,0,-,-,1,5,5,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,4
2,27112019-101440_-_1.1.csv,00:27:02.600000,word-prediction[3]-updated,may,0,0,-,-,1,3,3,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,2
2,27112019-101440_-_1.1.csv,00:27:02.600000,word-prediction[4]-updated,might,0,0,-,-,1,5,5,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,4
2,27112019-101440_-_1.1.csv,00:27:04.400000,word-prediction[3]-selected,may,0,0,-,-,1,3,3,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,2
2,27112019-101440_-_1.1.csv,00:27:04.400000,output-updated,this may ,1,0,like,word,2,9,9,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,8
2,27112019-101440_-_1.1.csv,00:27:04.500000,tags-Updated,Current Location and Identification Tags Updated,0,0,-,-,6,48,48,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,47
2,27112019-101440_-_1.1.csv,00:27:04.500000,word-prediction[1]-updated,be,0,0,-,-,1,2,2,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,1
2,27112019-101440_-_1.1.csv,00:27:04.500000,word-prediction[2]-updated,not,0,0,-,-,1,3,3,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,2
2,27112019-101440_-_1.1.csv,00:27:04.600000,word-prediction[3]-updated,sound,0,0,-,-,1,5,5,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,4
2,27112019-101440_-_1.1.csv,00:27:04.600000,word-prediction[4]-updated,seem,0,0,-,-,1,4,4,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,3
2,27112019-101440_-_1.1.csv,00:27:06.100000,word-prediction[2]-selected,not,0,0,-,-,1,3,3,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,2
